startExpertiseMean,t,meanE,shareExpert,divergence
0.05,100,0.568995,0.000000,0.002026
0.05,500,0.664369,0.004000,0.002992
0.05,1000,0.752805,0.952000,0.002271
0.05,2000,0.828326,0.954000,0.001703
0.05,4000,0.848625,0.968000,0.002258
0.05,8000,0.856507,0.950000,0.003117
0.05,12000,0.875105,0.976000,0.003350
0.05,16000,0.853951,0.956000,0.001239
0.05,20000,0.865848,0.970000,0.002434
0.28,100,0.775456,0.944000,0.002230
0.28,500,0.827955,0.962000,0.003348
0.28,1000,0.857213,0.968000,0.002076
0.28,2000,0.866572,0.952000,0.003324
0.28,4000,0.861664,0.962000,0.000861
0.28,8000,0.859507,0.954000,0.004746
0.28,12000,0.879570,0.976000,0.002156
0.28,16000,0.857914,0.942000,0.003257
0.28,20000,0.864387,0.958000,0.005202
0.5,100,0.906762,0.962000,0.003758
0.5,500,0.890015,0.960000,0.005199
0.5,1000,0.899592,0.958000,0.003958
0.5,2000,0.876858,0.960000,0.004848
0.5,4000,0.881759,0.954000,0.005124
0.5,8000,0.878222,0.958000,0.002420
0.5,12000,0.891683,0.976000,0.003394
0.5,16000,0.879141,0.964000,0.001128
0.5,20000,0.879286,0.960000,0.002867
0.7,100,0.951725,0.972000,0.001999
0.7,500,0.925345,0.962000,0.002833
0.7,1000,0.909754,0.964000,0.002112
0.7,2000,0.894399,0.970000,0.001427
0.7,4000,0.904253,0.984000,0.002412
0.7,8000,0.881346,0.958000,0.003461
0.7,12000,0.888631,0.954000,0.008718
0.7,16000,0.887789,0.966000,0.002349
0.7,20000,0.891971,0.962000,0.002018
