seed,meanE_ambientDefault_t10000,shareExpert_ambientDefault_t10000,meanE_ambientZero_t10000,shareExpert_ambientZero_t10000
1,0.885373,0.974000,0.816043,0.964000
2,0.868677,0.948000,0.832757,0.960000
3,0.876560,0.952000,0.839894,0.966000
4,0.877336,0.966000,0.832887,0.940000
5,0.864434,0.966000,0.835798,0.970000
6,0.879019,0.968000,0.818280,0.958000
7,0.864084,0.960000,0.816082,0.942000
8,0.866600,0.954000,0.838650,0.958000
9,0.862919,0.942000,0.861636,0.968000
10,0.862327,0.962000,0.831699,0.956000
