N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,replicate,t,meanE_baseline,meanE_treatment,meanE_shortfall,shareExpert_baseline,shareExpert_treatment,shareExpert_shortfall
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,0,0,120,0.5013210293029745,0.4845118217356503,0.01680920756732418,0.32666666666666666,0.275,0.05166666666666664
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,1,0,120,0.5170371162767211,0.500075925582399,0.016961190694322115,0.4266666666666667,0.3516666666666667,0.07500000000000001
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,2,0,120,0.5038782769752046,0.4798882049818834,0.023990071993321205,0.37333333333333335,0.27,0.10333333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,3,0,120,0.4993598204168181,0.47657849884902437,0.022781321567793722,0.32166666666666666,0.26666666666666666,0.05499999999999999
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,4,0,120,0.5052753253094852,0.47421236999953786,0.031062955309947293,0.3466666666666667,0.25,0.09666666666666668
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,5,0,120,0.5019910950399935,0.47795775833229226,0.024033336707701247,0.2866666666666667,0.21333333333333335,0.07333333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,6,0,120,0.5083909379442533,0.48584048375487326,0.02255045418938001,0.33,0.255,0.07500000000000001
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.02425,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,7,0,120,0.4758638685444991,0.45466287912180026,0.021200989422698824,0.21666666666666667,0.14833333333333334,0.06833333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.026,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,8,0,120,0.47452184641733763,0.4567828305438161,0.017739015873521558,0.19,0.15166666666666667,0.03833333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.02775,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,9,0,120,0.47268829713265104,0.4533013865910471,0.019386910541603963,0.20333333333333334,0.17333333333333334,0.03
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0295,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,10,0,120,0.4847483836176495,0.46354462950179975,0.021203754115849738,0.26666666666666666,0.14833333333333334,0.11833333333333332
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.03125,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,11,0,120,0.4802267470955849,0.4559971777846416,0.024229569310943277,0.23666666666666666,0.14333333333333334,0.09333333333333332
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.033,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,12,0,120,0.477496158418556,0.45624529050663115,0.021250867911924876,0.17,0.12333333333333334,0.046666666666666676
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.03475,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,13,0,120,0.46988613381360966,0.4413162587520977,0.028569875061511985,0.175,0.125,0.04999999999999999
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0365,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,14,0,120,0.46576582541068395,0.4559727987088263,0.009793026701857666,0.18,0.15333333333333332,0.026666666666666672
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.03825,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,15,0,120,0.4637340933457017,0.4385230861355861,0.0252110072101156,0.16166666666666665,0.10333333333333333,0.05833333333333332
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.04,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,16,0,120,0.47181540430213015,0.44476292041440807,0.02705248388772208,0.165,0.10333333333333333,0.061666666666666675
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.04175,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,17,0,120,0.4740703752512733,0.44976994587729374,0.024300429373979582,0.17,0.09833333333333333,0.07166666666666668
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0435,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,18,0,120,0.4676236964762211,0.45570978126178185,0.011913915214439241,0.10166666666666667,0.09333333333333334,0.008333333333333331
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.04525,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,19,0,120,0.46011296978841226,0.44598136883229017,0.014131600956122092,0.14333333333333334,0.11666666666666667,0.026666666666666672
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.047,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,20,0,120,0.46383068107068537,0.4408074692947169,0.023023211775968444,0.17833333333333334,0.10666666666666667,0.07166666666666667
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,21,0,120,0.5187632038754721,0.4942695361934602,0.024493667682011944,0.43666666666666665,0.3516666666666667,0.08499999999999996
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,22,0,120,0.5122228409039478,0.49900697643558184,0.013215864468365923,0.4116666666666667,0.3416666666666667,0.07
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,23,0,120,0.5053301369026303,0.4867862429842353,0.018543893918395005,0.3566666666666667,0.29833333333333334,0.05833333333333335
