N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiEnabled,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,arm,t,meanE_mean,meanE_std,p10E_mean,p10E_std,p50E_mean,p50E_std,p90E_mean,p90E_std,divergence_mean,divergence_std,topE_mean,topE_std,aiLevel_mean,aiLevel_std,shareBelowAI_mean,shareBelowAI_std,shareExpert_mean,shareExpert_std,minOccupancy_mean,minOccupancy_std,emptyInstitutions_mean,emptyInstitutions_std,underOccupiedInstitutions_mean,underOccupiedInstitutions_std,n
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,0,treatment,120,0.4845118217356503,0,0.2015,0,0.5295,0,0.6415,0,0.012610723456116748,0,0.8905141949653625,0,0.585,0,0.725,0,0.275,0,0,0,47,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,0,baseline,120,0.5013210293029745,0,0.2215,0,0.5445,0,0.6645,0,0.013913280724294022,0,0.9140117168426514,0,,,,,0.32666666666666666,0,0,0,49,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,1,treatment,120,0.500075925582399,0,0.2045,0,0.5465,0,0.6595,0,0.015620528845053161,0,0.9314778447151184,0,0.585,0,0.6483333333333333,0,0.3516666666666667,0,0,0,41,0,216,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,1,baseline,120,0.5170371162767211,0,0.2235,0,0.5675,0,0.6655,0,0.013157600662844052,0,0.9317672252655029,0,,,,,0.4266666666666667,0,0,0,37,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,2,treatment,120,0.4798882049818834,0,0.1755,0,0.5285,0,0.6455,0,0.0153848828504121,0,0.860657811164856,0,0.585,0,0.73,0,0.27,0,0,0,57,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,2,baseline,120,0.5038782769752046,0,0.2005,0,0.5555,0,0.6585,0,0.015412369926917144,0,0.8560367822647095,0,,,,,0.37333333333333335,0,0,0,64,0,207,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,3,treatment,120,0.47657849884902437,0,0.1765,0,0.5165,0,0.6485,0,0.015608484817388387,0,0.8543305993080139,0,0.585,0,0.7333333333333333,0,0.26666666666666666,0,0,0,48,0,212,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,3,baseline,120,0.4993598204168181,0,0.2285,0,0.5455,0,0.6495,0,0.015307482110660482,0,0.9128655791282654,0,,,,,0.32166666666666666,0,0,0,48,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,4,treatment,120,0.47421236999953786,0,0.1965,0,0.5205,0,0.6445,0,0.016194486734864712,0,0.9483919739723206,0,0.585,0,0.75,0,0.25,0,0,0,43,0,215,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,4,baseline,120,0.5052753253094852,0,0.2655,0,0.5475,0,0.6515,0,0.015927341459830616,0,0.9524449706077576,0,,,,,0.3466666666666667,0,0,0,41,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,5,treatment,120,0.47795775833229226,0,0.2265,0,0.5125,0,0.6275,0,0.015278036042431487,0,0.862188458442688,0,0.585,0,0.7866666666666666,0,0.21333333333333335,0,0,0,52,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,5,baseline,120,0.5019910950399935,0,0.2635,0,0.5365,0,0.6375,0,0.012326381897390288,0,0.8589704632759094,0,,,,,0.2866666666666667,0,0,0,45,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,6,treatment,120,0.48584048375487326,0,0.2305,0,0.5205,0,0.6525,0,0.014890148139360819,0,0.8361310362815857,0,0.585,0,0.745,0,0.255,0,0,0,39,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.08,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,6,baseline,120,0.5083909379442533,0,0.2805,0,0.5445,0,0.6595,0,0.015263181587339763,0,0.920789361000061,0,,,,,0.33,0,0,0,41,0,216,0,1
